product_id,seller_id,units_total,nonzero_demand_periods,n_time_periods,units_mean,units_std,COV2,ADI,type
52c80cedd4e90108bf4fa6a206ef6b03,a1043bafd471dff536d0c462352beb48,125.0,44,80,2.840909090909091,1.5393018927828084,0.29358437209302335,1.8181818181818181,Intermitent
43423cdffde7fda63d0414ed38c11a73,b1fc4f64df5a0e8b6913ab38803c57a9,122.0,35,55,3.4857142857142858,5.9377725501355165,2.9017737167428095,1.5714285714285714,Lumpy
89321f94e35fc6d7903d36f74e351d40,16090f2ca825584b5a147ab24aa30c86,122.0,31,31,3.935483870967742,2.694877657964801,0.4689017289259159,1.0,Smooth
3eef0cb94ba82de806bb30ab743c7655,7c67e1448b00f6e969d365cea6b010ab,122.0,14,32,8.714285714285714,10.461861662751494,1.4412998987038226,2.2857142857142856,Lumpy
601a360bd2a916ecef0e88de72a6531a,7a67c85e85bb2ce8582c35f2203ad736,122.0,40,58,3.05,2.0748802869390333,0.46279260468994415,1.45,Intermitent
c6dd917a0be2a704582055949915ab32,7a67c85e85bb2ce8582c35f2203ad736,121.0,43,62,2.813953488372093,1.7355637749252486,0.3804059701880888,1.441860465116279,Intermitent
e0d64dcfaa3b6db5c54ca298ae101d05,4869f7a5dfa277a7dca6462dcf3b52b2,120.0,30,63,4.0,3.0738047859402142,0.5905172413793104,2.1,Lumpy
84f456958365164420cfc80fbe4c7fab,4a3ca9315b744ce9f8e9374361493884,120.0,38,44,3.1578947368421053,2.666370301217518,0.7129279279279283,1.1578947368421053,Eratic
8ed094bfe076c568f6bb10feada3f75d,7c67e1448b00f6e969d365cea6b010ab,119.0,25,43,4.76,6.220128616033595,1.7075948026269332,1.72,Lumpy
53b36df67ebb7c41585e8d54d6772e08,4869f7a5dfa277a7dca6462dcf3b52b2,119.0,28,50,4.25,5.175619483408439,1.483019351531462,1.7857142857142858,Lumpy
d3c044bd42d84a79e3b0c42662806a48,4c2b230173bb36f9b240f2b8ac11786e,114.0,15,35,7.6,9.03801495272686,1.41422635536209,2.3333333333333335,Lumpy
54d9ac713e253fa1fae9c8003b011c2a,955fee9216a65b617aa5c0531780ce60,114.0,15,46,7.6,10.848304673344785,2.037495053423032,3.066666666666667,Lumpy
c6336fa91fbd87c359e44f5dca5a90ed,4c2b230173bb36f9b240f2b8ac11786e,114.0,39,65,2.923076923076923,2.4212286505280023,0.6861058463332846,1.6666666666666667,Lumpy
